feature,term_index,edof,n_splines,fold,test_month
EarningsYield_zscore,0,3.794375391273509,4,61,2020-02-28
GrossProfitability_zscore,1,2.8587707177554784,4,61,2020-02-28
AssetGrowth_zscore,2,2.83389775430997,4,61,2020-02-28
Accruals_zscore,3,2.8085472761201453,4,61,2020-02-28
Momentum12_1_zscore,4,2.7512141777803616,4,61,2020-02-28
NetDebtEBITDA_zscore,5,2.829140154594326,4,61,2020-02-28
SUE_zscore,6,2.7042671394592226,4,61,2020-02-28
AnalystRevision_zscore,7,2.641391543445161,4,61,2020-02-28
AnalystDispersion_zscore,8,2.6674244858775142,4,61,2020-02-28
RevisionBreadth_zscore,9,2.807481412852022,4,61,2020-02-28
Beta_zscore,10,2.854991386289673,4,61,2020-02-28
IVOL_zscore,11,2.8507581947479417,4,61,2020-02-28
ShortInterestRatio_zscore,12,2.8637509790673294,4,61,2020-02-28
InstOwnershipChg_zscore,13,2.572852104386954,4,61,2020-02-28
Turnover_zscore,14,2.804104351907156,4,61,2020-02-28
AmihudIlliquidity_zscore,15,2.787323733309966,4,61,2020-02-28
High52W_Proximity_zscore,16,2.7270874413451653,4,61,2020-02-28
MaxDailyReturn_zscore,17,2.713518347994272,4,61,2020-02-28
ReturnSkewness_zscore,18,2.680071680942428,4,61,2020-02-28
ImpliedEPSGrowth_zscore,19,2.525008561269675,4,61,2020-02-28
QRevGrowthYoY_zscore,20,2.7553277078303204,4,61,2020-02-28
AnalystCoverageChg_zscore,21,2.815925351899758,4,61,2020-02-28
has_sue,22,0.8414239556794633,4,61,2020-02-28
has_short_interest,23,0.9486892786283122,4,61,2020-02-28
has_inst_ownership,24,0.9957941101236213,4,61,2020-02-28
has_analyst_consensus,25,0.9929997352198986,4,61,2020-02-28
has_positive_earnings,26,0.9759326064210098,4,61,2020-02-28
EarningsYield_zscore,0,3.797729475974013,4,62,2020-03-31
GrossProfitability_zscore,1,2.8585452200181294,4,62,2020-03-31
AssetGrowth_zscore,2,2.8372511820161685,4,62,2020-03-31
Accruals_zscore,3,2.810701860779485,4,62,2020-03-31
Momentum12_1_zscore,4,2.7553304493368933,4,62,2020-03-31
NetDebtEBITDA_zscore,5,2.833322089636479,4,62,2020-03-31
SUE_zscore,6,2.7363704634107933,4,62,2020-03-31
AnalystRevision_zscore,7,2.6178136238916876,4,62,2020-03-31
AnalystDispersion_zscore,8,2.6841722722944015,4,62,2020-03-31
RevisionBreadth_zscore,9,2.81553658317176,4,62,2020-03-31
Beta_zscore,10,2.855030043285924,4,62,2020-03-31
IVOL_zscore,11,2.8575910259418515,4,62,2020-03-31
ShortInterestRatio_zscore,12,2.8650330005323794,4,62,2020-03-31
InstOwnershipChg_zscore,13,2.5774191162483406,4,62,2020-03-31
Turnover_zscore,14,2.810433132328085,4,62,2020-03-31
AmihudIlliquidity_zscore,15,2.789355011802844,4,62,2020-03-31
High52W_Proximity_zscore,16,2.7313906875627803,4,62,2020-03-31
MaxDailyReturn_zscore,17,2.7185506761984572,4,62,2020-03-31
ReturnSkewness_zscore,18,2.6840000144158798,4,62,2020-03-31
ImpliedEPSGrowth_zscore,19,2.5254649355702985,4,62,2020-03-31
QRevGrowthYoY_zscore,20,2.751855626583328,4,62,2020-03-31
AnalystCoverageChg_zscore,21,2.812591615822467,4,62,2020-03-31
has_sue,22,0.8413949827725898,4,62,2020-03-31
has_short_interest,23,0.9628073053619238,4,62,2020-03-31
has_inst_ownership,24,0.9970561213821355,4,62,2020-03-31
has_analyst_consensus,25,0.9935096252566249,4,62,2020-03-31
has_positive_earnings,26,0.9764857550995313,4,62,2020-03-31
EarningsYield_zscore,0,3.800824201622772,4,63,2020-04-30
GrossProfitability_zscore,1,2.8600482178024658,4,63,2020-04-30
AssetGrowth_zscore,2,2.835732072790217,4,63,2020-04-30
Accruals_zscore,3,2.814136086769115,4,63,2020-04-30
Momentum12_1_zscore,4,2.759581990647923,4,63,2020-04-30
NetDebtEBITDA_zscore,5,2.8364757656864446,4,63,2020-04-30
SUE_zscore,6,2.709503554547223,4,63,2020-04-30
AnalystRevision_zscore,7,2.573559231093725,4,63,2020-04-30
AnalystDispersion_zscore,8,2.689951007742448,4,63,2020-04-30
RevisionBreadth_zscore,9,2.812834207463668,4,63,2020-04-30
Beta_zscore,10,2.8604819842784384,4,63,2020-04-30
IVOL_zscore,11,2.860820410422342,4,63,2020-04-30
ShortInterestRatio_zscore,12,2.867803070279012,4,63,2020-04-30
InstOwnershipChg_zscore,13,2.5773341944676504,4,63,2020-04-30
Turnover_zscore,14,2.819656886574585,4,63,2020-04-30
AmihudIlliquidity_zscore,15,2.803089838780582,4,63,2020-04-30
High52W_Proximity_zscore,16,2.739896223486564,4,63,2020-04-30
MaxDailyReturn_zscore,17,2.7208641853816866,4,63,2020-04-30
ReturnSkewness_zscore,18,2.6901753353779387,4,63,2020-04-30
ImpliedEPSGrowth_zscore,19,2.5346542114927617,4,63,2020-04-30
QRevGrowthYoY_zscore,20,2.7572983467004777,4,63,2020-04-30
AnalystCoverageChg_zscore,21,2.8159065508356615,4,63,2020-04-30
has_sue,22,0.8480439112658704,4,63,2020-04-30
has_short_interest,23,0.94341223742519,4,63,2020-04-30
has_inst_ownership,24,0.9969033621449372,4,63,2020-04-30
has_analyst_consensus,25,0.9947881683155777,4,63,2020-04-30
has_positive_earnings,26,0.9760907304278003,4,63,2020-04-30
EarningsYield_zscore,0,3.803406334634348,4,64,2020-05-29
GrossProfitability_zscore,1,2.8614432160831598,4,64,2020-05-29
AssetGrowth_zscore,2,2.8397313778317823,4,64,2020-05-29
Accruals_zscore,3,2.8160397235188532,4,64,2020-05-29
Momentum12_1_zscore,4,2.759055575355723,4,64,2020-05-29
NetDebtEBITDA_zscore,5,2.8435909896356413,4,64,2020-05-29
SUE_zscore,6,2.7059376199374583,4,64,2020-05-29
AnalystRevision_zscore,7,2.575649356256909,4,64,2020-05-29
AnalystDispersion_zscore,8,2.692677292352065,4,64,2020-05-29
RevisionBreadth_zscore,9,2.8169953740873006,4,64,2020-05-29
Beta_zscore,10,2.8664743972893834,4,64,2020-05-29
IVOL_zscore,11,2.861444544126164,4,64,2020-05-29
ShortInterestRatio_zscore,12,2.8756875930537102,4,64,2020-05-29
InstOwnershipChg_zscore,13,2.5318363816830227,4,64,2020-05-29
Turnover_zscore,14,2.815285940457418,4,64,2020-05-29
AmihudIlliquidity_zscore,15,2.797326534284083,4,64,2020-05-29
High52W_Proximity_zscore,16,2.733160489966783,4,64,2020-05-29
MaxDailyReturn_zscore,17,2.7266442443557874,4,64,2020-05-29
ReturnSkewness_zscore,18,2.695736083859428,4,64,2020-05-29
ImpliedEPSGrowth_zscore,19,2.5355953991048215,4,64,2020-05-29
QRevGrowthYoY_zscore,20,2.772185237282808,4,64,2020-05-29
AnalystCoverageChg_zscore,21,2.821062899653296,4,64,2020-05-29
has_sue,22,0.8547891479669428,4,64,2020-05-29
has_short_interest,23,0.9409894745395807,4,64,2020-05-29
has_inst_ownership,24,0.9964859790065682,4,64,2020-05-29
has_analyst_consensus,25,0.9941659618960103,4,64,2020-05-29
has_positive_earnings,26,0.9770734057815152,4,64,2020-05-29
EarningsYield_zscore,0,3.805401384434446,4,65,2020-06-30
GrossProfitability_zscore,1,2.867180944337435,4,65,2020-06-30
AssetGrowth_zscore,2,2.773980553838041,4,65,2020-06-30
Accruals_zscore,3,2.817310576256662,4,65,2020-06-30
Momentum12_1_zscore,4,2.7621130478556,4,65,2020-06-30
NetDebtEBITDA_zscore,5,2.6085220151480155,4,65,2020-06-30
SUE_zscore,6,2.7124417822823266,4,65,2020-06-30
AnalystRevision_zscore,7,2.5831324413076406,4,65,2020-06-30
AnalystDispersion_zscore,8,2.6961057872286416,4,65,2020-06-30
RevisionBreadth_zscore,9,2.816738088591334,4,65,2020-06-30
Beta_zscore,10,2.8592522282726547,4,65,2020-06-30
IVOL_zscore,11,2.85465706025791,4,65,2020-06-30
ShortInterestRatio_zscore,12,2.8757461003204408,4,65,2020-06-30
InstOwnershipChg_zscore,13,2.5373531860035134,4,65,2020-06-30
Turnover_zscore,14,2.8187044055033477,4,65,2020-06-30
AmihudIlliquidity_zscore,15,2.8057499206920533,4,65,2020-06-30
High52W_Proximity_zscore,16,2.7277901072534267,4,65,2020-06-30
MaxDailyReturn_zscore,17,2.73173343714566,4,65,2020-06-30
ReturnSkewness_zscore,18,2.696811375232492,4,65,2020-06-30
ImpliedEPSGrowth_zscore,19,2.539561912154197,4,65,2020-06-30
QRevGrowthYoY_zscore,20,2.7629110577251295,4,65,2020-06-30
AnalystCoverageChg_zscore,21,2.826211952580392,4,65,2020-06-30
has_sue,22,0.8333170381781373,4,65,2020-06-30
has_short_interest,23,0.95709788585083,4,65,2020-06-30
has_inst_ownership,24,0.9972337540280538,4,65,2020-06-30
has_analyst_consensus,25,0.9943549886913455,4,65,2020-06-30
has_positive_earnings,26,0.9774318160777838,4,65,2020-06-30
EarningsYield_zscore,0,3.807698136389822,4,66,2020-07-31
GrossProfitability_zscore,1,2.8681482419833673,4,66,2020-07-31
AssetGrowth_zscore,2,2.781000716186345,4,66,2020-07-31
Accruals_zscore,3,2.8217273531789537,4,66,2020-07-31
Momentum12_1_zscore,4,2.7653764822134934,4,66,2020-07-31
NetDebtEBITDA_zscore,5,2.6692633214514365,4,66,2020-07-31
SUE_zscore,6,2.7157459248186937,4,66,2020-07-31
AnalystRevision_zscore,7,2.573455794069101,4,66,2020-07-31
AnalystDispersion_zscore,8,2.7012220368631357,4,66,2020-07-31
RevisionBreadth_zscore,9,2.8187780656817756,4,66,2020-07-31
Beta_zscore,10,2.859932668180764,4,66,2020-07-31
IVOL_zscore,11,2.851834959770347,4,66,2020-07-31
ShortInterestRatio_zscore,12,2.87435502899727,4,66,2020-07-31
InstOwnershipChg_zscore,13,2.5141046100136726,4,66,2020-07-31
Turnover_zscore,14,2.8178533461218476,4,66,2020-07-31
AmihudIlliquidity_zscore,15,2.802365043463638,4,66,2020-07-31
High52W_Proximity_zscore,16,2.729572109581965,4,66,2020-07-31
MaxDailyReturn_zscore,17,2.7349654921365305,4,66,2020-07-31
ReturnSkewness_zscore,18,2.6999676278894063,4,66,2020-07-31
ImpliedEPSGrowth_zscore,19,2.543596686546361,4,66,2020-07-31
QRevGrowthYoY_zscore,20,2.7653090387714983,4,66,2020-07-31
AnalystCoverageChg_zscore,21,2.8292552419045083,4,66,2020-07-31
has_sue,22,0.9001864108931895,4,66,2020-07-31
has_short_interest,23,0.9540526240603697,4,66,2020-07-31
has_inst_ownership,24,0.9968968486450773,4,66,2020-07-31
has_analyst_consensus,25,0.9940097522282666,4,66,2020-07-31
has_positive_earnings,26,0.978008333011893,4,66,2020-07-31
EarningsYield_zscore,0,3.801826559836437,4,67,2020-08-31
GrossProfitability_zscore,1,2.8671247115300282,4,67,2020-08-31
