,EarningsYield,GrossProfitability,AssetGrowth,Accruals,Momentum12_1,NetDebtEBITDA,SUE,AnalystRevision,AnalystDispersion,RevisionBreadth,Beta,IVOL
2015-01-30,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,
2015-12-31,-0.049654763134454126,0.07836022182971451,-0.0183728770688955,-0.030530069153161126,0.0938139138835331,-0.027789604646049765,0.024125207997786734,0.06051477252168428,-0.05284093063747306,0.06868594290464419,-0.07179060222781833,-0.03273498183717854
2016-01-29,-0.04598288950223472,0.0787874334067568,-0.021856819145095754,-0.02318074279896477,0.06573627886392615,-0.004841206200472057,0.03693876664528327,0.04658301065348172,-0.0676213927096976,0.04479762094839346,-0.10871936675650351,-0.05136072095284114
2016-02-29,0.0009278755077195069,0.05200869019619337,-0.006435220642383676,-0.0026753592362830686,0.03684435532852436,-0.028599992544221936,0.01475124667812149,0.014193469667564107,-0.04222804958485806,0.015439012906551799,-0.07586141714007076,-0.020803854497087094
2016-03-31,-0.011188531953342963,0.024610882058483555,0.0023157222345998336,0.022237467326252692,0.02709668597938635,-0.01375440543349162,0.026051275268831484,0.03807628873853248,-0.03948482036397844,0.025077302416969132,-0.06810794749558044,-0.02353367658357464
2016-04-29,-0.008505688213734734,0.01841277871181243,4.7490830932322516e-05,0.014374460963420753,0.003667354849821783,-0.00847559800929798,0.025059636933845303,0.030712330974808646,-0.025112646289158894,0.014079240058039547,-0.06526758574884235,-0.017767747436966262
2016-05-31,-0.02285466264020589,0.016430831360922087,-0.012232143386331088,-0.020468279906964662,0.022353203077295002,0.017886897437191896,0.018058024448350554,0.033338106552317205,-0.047501763010240144,0.00968426507106903,-0.11667450417480123,-0.025239879380001846
2016-06-30,-0.011943950951020507,0.02333533563451555,-0.015815615159261876,-0.021080176733268216,-0.019815085069888924,0.009355152843149714,0.014555780229817327,0.030375285598637097,-0.01540315546718493,0.008010386998216589,-0.05343477128358847,0.0012231321999194855
2016-07-29,0.0015923080685697616,0.01644178293120357,-0.018059333810483042,-0.010619925628395852,-0.05232736646867936,-0.0131065922490848,0.01825785340299292,0.02584948649779466,0.005579601549059589,-0.016200764593923524,-0.0020315727685027937,0.011656783753183617
2016-08-31,-0.00836754664255013,0.004247658118383558,-0.006539242222016164,-0.020200150575095766,-0.07311192071654643,-0.012348936201079066,0.009206648455570282,0.01910817304896216,0.03470693500077994,-0.015720678220539755,0.05174215124698165,0.0435396261055078
