================================================================================
RUNG 3A GAM AUDIT — n_splines hyperparameter sensitivity sweep
================================================================================
Loading panel: data/master_panel_v2.parquet
  46,811 rows, 119 months, 442 tickers, 27 features

================================================================================
n_splines = 3
================================================================================
  ERROR for n_splines=3: n_splines must be > spline_order. found: n_splines = 3 and spline_order = 3

================================================================================
n_splines = 5
================================================================================
  [gam_ns5] fold   1/58 | 2020-02 | n_train=22,025 | n_test= 401 | IC=-0.0211 | elapsed=7.8s
  [gam_ns5] fold   2/58 | 2020-03 | n_train=22,426 | n_test= 401 | IC=+0.1729 | elapsed=15.2s
  [gam_ns5] fold   3/58 | 2020-04 | n_train=22,827 | n_test= 408 | IC=+0.1156 | elapsed=22.6s
  [gam_ns5] fold   4/58 | 2020-05 | n_train=23,228 | n_test= 408 | IC=+0.2639 | elapsed=30.1s
  [gam_ns5] fold   5/58 | 2020-06 | n_train=23,636 | n_test= 408 | IC=+0.0488 | elapsed=37.9s
  [gam_ns5] fold   6/58 | 2020-07 | n_train=24,044 | n_test= 409 | IC=+0.1042 | elapsed=45.9s
  [gam_ns5] fold   7/58 | 2020-08 | n_train=24,452 | n_test= 409 | IC=-0.0091 | elapsed=54.0s
  [gam_ns5] fold   8/58 | 2020-09 | n_train=24,861 | n_test= 410 | IC=-0.0273 | elapsed=62.8s
  [gam_ns5] fold   9/58 | 2020-10 | n_train=25,270 | n_test= 409 | IC=-0.0088 | elapsed=71.1s
  [gam_ns5] fold  10/58 | 2020-11 | n_train=25,680 | n_test= 411 | IC=+0.1230 | elapsed=79.5s
  [gam_ns5] fold  11/58 | 2020-12 | n_train=26,089 | n_test= 414 | IC=+0.0439 | elapsed=87.9s
  [gam_ns5] fold  12/58 | 2021-01 | n_train=26,500 | n_test= 416 | IC=+0.0688 | elapsed=96.7s
  [gam_ns5] fold  13/58 | 2021-02 | n_train=26,914 | n_test= 414 | IC=-0.1518 | elapsed=105.6s
  [gam_ns5] fold  14/58 | 2021-03 | n_train=27,330 | n_test= 414 | IC=+0.0266 | elapsed=114.8s
  [gam_ns5] fold  15/58 | 2021-04 | n_train=27,744 | n_test= 416 | IC=-0.0120 | elapsed=123.9s
  [gam_ns5] fold  16/58 | 2021-05 | n_train=28,158 | n_test= 416 | IC=+0.2101 | elapsed=133.9s
  [gam_ns5] fold  17/58 | 2021-06 | n_train=28,574 | n_test= 416 | IC=-0.0236 | elapsed=143.5s
  [gam_ns5] fold  18/58 | 2021-07 | n_train=28,990 | n_test= 417 | IC=-0.0472 | elapsed=152.7s
  [gam_ns5] fold  19/58 | 2021-08 | n_train=29,406 | n_test= 417 | IC=-0.0957 | elapsed=162.3s
  [gam_ns5] fold  20/58 | 2021-09 | n_train=29,823 | n_test= 417 | IC=+0.1280 | elapsed=172.5s
  [gam_ns5] fold  21/58 | 2021-10 | n_train=30,240 | n_test= 418 | IC=+0.0993 | elapsed=182.8s
  [gam_ns5] fold  22/58 | 2021-11 | n_train=30,657 | n_test= 418 | IC=-0.0111 | elapsed=193.6s
  [gam_ns5] fold  23/58 | 2021-12 | n_train=31,075 | n_test= 418 | IC=-0.2536 | elapsed=203.9s
  [gam_ns5] fold  24/58 | 2022-01 | n_train=31,493 | n_test= 418 | IC=-0.0450 | elapsed=214.5s
  [gam_ns5] fold  25/58 | 2022-02 | n_train=31,911 | n_test= 418 | IC=-0.1237 | elapsed=224.7s
