fold,test_month,best_hidden,best_lr,best_dropout,best_inner_ic,outer_ic,h16_lr1e-04_dr0.0,h16_lr1e-04_dr0.1,h16_lr1e-04_dr0.2,h16_lr1e-03_dr0.0,h16_lr1e-03_dr0.1,h16_lr1e-03_dr0.2,h16_lr1e-02_dr0.0,h16_lr1e-02_dr0.1,h16_lr1e-02_dr0.2,h32_lr1e-04_dr0.0,h32_lr1e-04_dr0.1,h32_lr1e-04_dr0.2,h32_lr1e-03_dr0.0,h32_lr1e-03_dr0.1,h32_lr1e-03_dr0.2,h32_lr1e-02_dr0.0,h32_lr1e-02_dr0.1,h32_lr1e-02_dr0.2,h64_lr1e-04_dr0.0,h64_lr1e-04_dr0.1,h64_lr1e-04_dr0.2,h64_lr1e-03_dr0.0,h64_lr1e-03_dr0.1,h64_lr1e-03_dr0.2,h64_lr1e-02_dr0.0,h64_lr1e-02_dr0.1,h64_lr1e-02_dr0.2
1,2020-02-28,32,0.0001,0.2,0.017615558310512883,-0.09059946797166966,-0.028452134294986636,-0.02340583400033015,-0.008652907756017491,-0.02697863288556383,-0.010538864079031452,0.00024153139940369267,-0.0058465063040129515,-0.012488879196822789,-0.04256721612602255,0.008865763454040974,0.01015447278242469,0.017615558310512883,0.012667537764304697,0.005901149735375349,0.014295305704095271,0.003534030093696987,-0.0034441244643432754,-0.003461026885109908,0.004838237438342514,0.0056444221254408865,-0.00381952585021075,0.013607109850161322,0.001598828425637915,0.006369159001934467,-0.013811107654845197,-0.01044766241677976,-0.016788641071057462
2,2020-03-31,32,0.0001,0.2,0.017615558310512883,0.22946086883051978,-0.028452134294986636,-0.02340583400033015,-0.008652907756017491,-0.02697863288556383,-0.010538864079031452,0.00024153139940369267,-0.0058465063040129515,-0.012488879196822789,-0.04256721612602255,0.008865763454040974,0.01015447278242469,0.017615558310512883,0.012667537764304697,0.005901149735375349,0.014295305704095271,0.003534030093696987,-0.0034441244643432754,-0.003461026885109908,0.004838237438342514,0.0056444221254408865,-0.00381952585021075,0.013607109850161322,0.001598828425637915,0.006369159001934467,-0.013811107654845197,-0.01044766241677976,-0.016788641071057462
3,2020-04-30,64,0.001,0.0,0.027324112157880318,0.01311332322686283,-0.017115957144320043,-0.020335201560964983,-0.011285878401025101,-0.00911278990285832,-0.019181316780834793,-0.007583711314615997,-0.015959717650532508,-0.009042670213353407,-0.0013612118961897578,0.005415157155840326,0.005320030779573416,0.00822644432473334,0.015548013263529456,0.00012534787339731667,-0.0003806202347346104,0.0050347380277852676,-2.0588981294409937e-05,-0.00929169373615923,0.0225362479019173,0.024188374663342966,0.010957903256949118,0.027324112157880318,0.023642485481882386,-0.0009205153158700086,0.006412198761766859,0.01854934726479377,0.022520578725088086
4,2020-05-29,64,0.001,0.0,0.028110544288821027,0.1863885973560739,-0.01510192854723831,-0.017270154347801252,-0.008495825522222498,-0.00812882819715978,-0.015211950637781399,-0.003922261338911257,-0.013448296545768458,-0.004348105187864683,-0.0011337217013662367,0.007425141360423277,0.0070242413686771345,0.008319703780093978,0.01646237661986119,0.0004289281744736799,0.0004910457746130139,0.005843404303963518,0.0021713861875200594,-0.007542783752177071,0.021291874643288133,0.026346842203367447,0.01398530310084123,0.028110544288821027,0.02575454419813777,0.001481905251571554,0.006616284503083987,0.02094169045608242,0.025201437947433954
5,2020-06-30,64,0.001,0.0,0.028110544288821027,-0.10330987848470005,-0.01510192854723831,-0.017270154347801252,-0.008495825522222498,-0.00812882819715978,-0.015211950637781399,-0.003922261338911257,-0.013448296545768458,-0.004348105187864683,-0.0011337217013662367,0.007425141360423277,0.0070242413686771345,0.008319703780093978,0.01646237661986119,0.0004289281744736799,0.0004910457746130139,0.005843404303963518,0.0021713861875200594,-0.007542783752177071,0.021291874643288133,0.026346842203367447,0.01398530310084123,0.028110544288821027,0.02575454419813777,0.001481905251571554,0.006616284503083987,0.02094169045608242,0.025201437947433954
6,2020-07-31,64,0.001,0.0,0.028110544288821027,0.06238088573133782,-0.01510192854723831,-0.017270154347801252,-0.008495825522222498,-0.00812882819715978,-0.015211950637781399,-0.003922261338911257,-0.013448296545768458,-0.004348105187864683,-0.0011337217013662367,0.007425141360423277,0.0070242413686771345,0.008319703780093978,0.01646237661986119,0.0004289281744736799,0.0004910457746130139,0.005843404303963518,0.0021713861875200594,-0.007542783752177071,0.021291874643288133,0.026346842203367447,0.01398530310084123,0.028110544288821027,0.02575454419813777,0.001481905251571554,0.006616284503083987,0.02094169045608242,0.025201437947433954
7,2020-08-31,64,0.01,0.0,0.029830420180565937,0.09106676923018461,-0.011295762477572262,0.0007208955553857551,0.010702532982105717,0.004556105076276552,0.004975980873975649,0.007624035496559489,0.006125515319576206,0.011275568940588098,0.015322843208293718,0.020326619664217213,0.015092049843000851,0.007365161691652869,0.02325588174794059,0.02676186747662689,0.006146892238919457,-0.00015758660367195393,0.021168797482863228,0.01230609304309063,0.024300173377486866,0.027979295646968588,0.021678381737702288,0.020863505292412612,0.023614309134623566,0.024996525888019327,0.029830420180565937,0.018548899507890872,0.015981816999808832
8,2020-09-30,64,0.01,0.0,0.030788488548760123,0.0316734780750192,-0.010840624153363065,0.006527415914936015,0.018949427583926103,0.007826183079960115,0.012949829107780376,0.014047475411922089,0.00552132378736545,0.02065494963324094,0.022781768311908895,0.023786319459978136,0.024236583354225683,0.01189776973042946,0.022393097430906714,0.02986694383254723,0.023045044712329377,0.022928722752269412,0.015813753224366154,0.013984070330472246,0.02691768939644271,0.02970795732600841,0.025022677716690294,0.01842423871902797,0.024935750990326525,0.025031291229490427,0.030788488548760123,0.02698267378950275,0.01806330720802644
9,2020-10-30,64,0.01,0.0,0.030788488548760123,0.06441527780257852,-0.010840624153363065,0.006527415914936015,0.018949427583926103,0.007826183079960115,0.012949829107780376,0.014047475411922089,0.00552132378736545,0.02065494963324094,0.022781768311908895,0.023786319459978136,0.024236583354225683,0.01189776973042946,0.022393097430906714,0.02986694383254723,0.023045044712329377,0.022928722752269412,0.015813753224366154,0.013984070330472246,0.02691768939644271,0.02970795732600841,0.025022677716690294,0.01842423871902797,0.024935750990326525,0.025031291229490427,0.030788488548760123,0.02698267378950275,0.01806330720802644
10,2020-11-30,64,0.01,0.0,0.030788488548760123,0.08725413538765579,-0.010840624153363065,0.006527415914936015,0.018949427583926103,0.007826183079960115,0.012949829107780376,0.014047475411922089,0.00552132378736545,0.02065494963324094,0.022781768311908895,0.023786319459978136,0.024236583354225683,0.01189776973042946,0.022393097430906714,0.02986694383254723,0.023045044712329377,0.022928722752269412,0.015813753224366154,0.013984070330472246,0.02691768939644271,0.02970795732600841,0.025022677716690294,0.01842423871902797,0.024935750990326525,0.025031291229490427,0.030788488548760123,0.02698267378950275,0.01806330720802644
