feature,raw_mean_coef,raw_abs_coef,raw_nonzero_pct,sa_mean_coef,sa_abs_coef,sa_nonzero_pct,abs_delta
IVOL_zscore,0.0022,0.0022,1.0,0.00178,0.00178,1.0,-0.00042
Beta_zscore,0.0012,0.0012,0.862,0.00015,0.00019,0.621,-0.00101
GrossProfitability_zscore,0.00087,0.00087,0.948,0.00024,0.00024,0.397,-0.00063
ShortInterestRatio_zscore,0.00042,0.00043,0.603,0.00041,0.00041,0.655,-2e-05
AssetGrowth_zscore,-0.00026,0.00028,0.328,-0.00012,0.00015,0.362,-0.00013
Accruals_zscore,0.00022,0.00022,0.362,0.00033,0.00033,0.397,0.00011
AnalystRevision_zscore,0.00022,0.00022,0.397,0.00019,0.00019,0.397,-3e-05
Momentum12_1_zscore,0.00021,0.00021,0.534,8e-05,8e-05,0.379,-0.00013
AnalystDispersion_zscore,-0.0002,0.0002,0.345,-0.00013,0.00013,0.328,-7e-05
RevisionBreadth_zscore,0.00017,0.00017,0.345,0.00025,0.00025,0.397,8e-05
NetDebtEBITDA_zscore,-0.00015,0.00015,0.431,-0.00011,0.00011,0.362,-4e-05
InstOwnershipChg_zscore,-0.00012,0.00012,0.328,-5e-05,6e-05,0.31,-6e-05
SUE_zscore,-0.00011,0.00011,0.328,-0.0001,0.0001,0.31,-1e-05
EarningsYield_zscore,-7e-05,8e-05,0.328,-4e-05,6e-05,0.345,-2e-05
