Rung,Model,Mean_IC,IC_t_stat,IC_gt_0_pct,IC_IR,Hit_Rate,ICIR,Mean_RMSE,n_months
1,1a_OLS,0.0104,0.401,56.9,0.0527,0.569,0.0527,0.0936,58
1,1b_IC_Ensemble,0.0263,0.89,53.4,0.1169,0.5345,0.1169,0.0936,58
2,2a_LASSO,0.0172,0.642,56.9,0.0842,0.569,0.0842,0.0936,58
2,2b_Ridge,0.0134,0.507,55.2,0.0666,0.5517,0.0666,0.0936,58
2,2c_OLS_LASSO3,0.0168,0.591,55.2,0.0776,0.5517,0.0776,0.0936,58
2,2c_OLS_LASSO5,0.0152,0.556,55.2,0.0731,0.5517,0.0731,0.0936,58
4-5,5a_MLP_ret,0.0048,0.254,53.4,0.0334,0.5345,0.0334,0.094,58
4-5,5b_MTL_ret_ret3m,-0.0036,-0.211,50.0,-0.0277,0.5,-0.0277,0.0942,58
4-5,5c_MTL_ret_vol,0.0061,0.324,48.3,0.0425,0.4828,0.0425,0.0941,58
4-5,5d_MTL_ret_ret3m_vol,0.0173,0.892,58.6,0.1171,0.5862,0.1171,0.0942,58
